,img_name,category,category_labels,dirs
0,other1064.jpg,other,1,./Dogs vs. Other/other
1,other1232.jpg,other,1,./Dogs vs. Other/other
2,other691.jpg,other,1,./Dogs vs. Other/other
3,other944.jpg,other,1,./Dogs vs. Other/other
4,other409.jpg,other,1,./Dogs vs. Other/other
5,other1897.jpg,other,1,./Dogs vs. Other/other
6,other1324.jpg,other,1,./Dogs vs. Other/other
7,other579.jpg,other,1,./Dogs vs. Other/other
8,other442.jpg,other,1,./Dogs vs. Other/other
9,other10.jpg,other,1,./Dogs vs. Other/other
10,other475.jpg,other,1,./Dogs vs. Other/other
11,other1201.jpg,other,1,./Dogs vs. Other/other
12,other1350.jpg,other,1,./Dogs vs. Other/other
13,other2095.jpg,other,1,./Dogs vs. Other/other
14,other2300.jpg,other,1,./Dogs vs. Other/other
15,other2308.jpg,other,1,./Dogs vs. Other/other
16,other1030.jpg,other,1,./Dogs vs. Other/other
17,other1706.jpg,other,1,./Dogs vs. Other/other
18,other2171.jpg,other,1,./Dogs vs. Other/other
19,other1638.jpg,other,1,./Dogs vs. Other/other
20,other431.jpg,other,1,./Dogs vs. Other/other
21,other1605.jpg,other,1,./Dogs vs. Other/other
22,other1740.jpg,other,1,./Dogs vs. Other/other
23,other2043.jpg,other,1,./Dogs vs. Other/other
24,other817.jpg,other,1,./Dogs vs. Other/other
25,other503.jpg,other,1,./Dogs vs. Other/other
26,other425.jpg,other,1,./Dogs vs. Other/other
27,other1125.jpg,other,1,./Dogs vs. Other/other
28,other2453.jpg,other,1,./Dogs vs. Other/other
29,other569.jpg,other,1,./Dogs vs. Other/other
30,other842.jpg,other,1,./Dogs vs. Other/other
31,other461.jpg,other,1,./Dogs vs. Other/other
32,other306.jpg,other,1,./Dogs vs. Other/other
33,other34.jpg,other,1,./Dogs vs. Other/other
34,other834.jpg,other,1,./Dogs vs. Other/other
35,other1796.jpg,other,1,./Dogs vs. Other/other
36,other2028.jpg,other,1,./Dogs vs. Other/other
37,other643.jpg,other,1,./Dogs vs. Other/other
38,other680.jpg,other,1,./Dogs vs. Other/other
39,other1500.jpg,other,1,./Dogs vs. Other/other
40,other451.jpg,other,1,./Dogs vs. Other/other
41,other2177.jpg,other,1,./Dogs vs. Other/other
42,other1231.jpg,other,1,./Dogs vs. Other/other
43,other1943.jpg,other,1,./Dogs vs. Other/other
44,other2420.jpg,other,1,./Dogs vs. Other/other
45,other2418.jpg,other,1,./Dogs vs. Other/other
46,other1256.jpg,other,1,./Dogs vs. Other/other
47,other1744.jpg,other,1,./Dogs vs. Other/other
48,other1206.jpg,other,1,./Dogs vs. Other/other
49,other152.jpg,other,1,./Dogs vs. Other/other
50,other915.jpg,other,1,./Dogs vs. Other/other
51,other705.jpg,other,1,./Dogs vs. Other/other
52,other126.jpg,other,1,./Dogs vs. Other/other
53,other690.jpg,other,1,./Dogs vs. Other/other
54,other1983.jpg,other,1,./Dogs vs. Other/other
55,other17.jpg,other,1,./Dogs vs. Other/other
56,other2221.jpg,other,1,./Dogs vs. Other/other
57,other2417.jpg,other,1,./Dogs vs. Other/other
58,other12.jpg,other,1,./Dogs vs. Other/other
59,other975.jpg,other,1,./Dogs vs. Other/other
60,other666.jpg,other,1,./Dogs vs. Other/other
61,other1634.jpg,other,1,./Dogs vs. Other/other
62,other707.jpg,other,1,./Dogs vs. Other/other
63,other408.jpg,other,1,./Dogs vs. Other/other
64,other367.jpg,other,1,./Dogs vs. Other/other
65,other30.jpg,other,1,./Dogs vs. Other/other
66,other2257.jpg,other,1,./Dogs vs. Other/other
67,other713.jpg,other,1,./Dogs vs. Other/other
68,other1710.jpg,other,1,./Dogs vs. Other/other
69,other1057.jpg,other,1,./Dogs vs. Other/other
70,other1942.jpg,other,1,./Dogs vs. Other/other
71,other149.jpg,other,1,./Dogs vs. Other/other
72,other2072.jpg,other,1,./Dogs vs. Other/other
73,other416.jpg,other,1,./Dogs vs. Other/other
74,other2064.jpg,other,1,./Dogs vs. Other/other
75,other2165.jpg,other,1,./Dogs vs. Other/other
